region,property_segment,approvals_change_pct,commencements_signal,completions_signal,cycle_stage,market_softness_score,market_softness_band,as_of_date,source_note,region_risk_score,region_risk_band
Australia,Offices,-35.72,Proxy from approvals trend,Proxy from approvals trend,downturn,4.3,High,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,4.03,High
Australia,Education buildings,-21.37,Proxy from approvals trend,Proxy from approvals trend,slowing,3.25,Elevated,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,3.38,Elevated
Australia,Retail and wholesale trade buildings,68.47,Proxy from approvals trend,Proxy from approvals trend,neutral,3.15,Elevated,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.95,Medium
Australia,Short term accommodation buildings,113.7,Proxy from approvals trend,Proxy from approvals trend,growth,2.85,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.55,Medium
Australia,Aged care facilities,219.88,Proxy from approvals trend,Proxy from approvals trend,neutral,2.7,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.73,Medium
Australia,Agricultural and aquacultural buildings,58.37,Proxy from approvals trend,Proxy from approvals trend,neutral,2.65,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.58,Medium
Australia,Total Non-residential,71.46,Proxy from approvals trend,Proxy from approvals trend,neutral,2.6,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.55,Medium
Australia,Industrial Buildings - Total,55.53,Proxy from approvals trend,Proxy from approvals trend,neutral,2.4,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.45,Medium
Australia,Commercial Buildings - Total,165.42,Proxy from approvals trend,Proxy from approvals trend,growth,2.3,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.15,Medium
Australia,Warehouses,69.32,Proxy from approvals trend,Proxy from approvals trend,neutral,2.2,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.35,Medium
Australia,Health buildings,355.03,Proxy from approvals trend,Proxy from approvals trend,growth,1.65,Low,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,1.82,Low
